Column,Type,Default,Nullable,Description
id,integer,,No,
sample_id,integer,,Yes,
website_id,integer,,Yes,
survey_id,integer,,Yes,
input_form,character varying,,Yes,
location_id,integer,,Yes,
location_name,character varying,,Yes,
public_geom,USER-DEFINED,,Yes,
map_sq_1km_id,integer,,Yes,
map_sq_2km_id,integer,,Yes,
map_sq_10km_id,integer,,Yes,
date_start,date,,Yes,
date_end,date,,Yes,
date_type,character varying (2),,Yes,
created_on,timestamp no timezone,,Yes,
updated_on,timestamp no timezone,,Yes,
verified_on,timestamp no timezone,,Yes,
created_by_id,integer,,Yes,
group_id,integer,,Yes,
taxa_taxon_list_id,integer,,Yes,
preferred_taxa_taxon_list_id,integer,,Yes,
taxon_meaning_id,integer,,Yes,
taxa_taxon_list_external_key,character varying (50),,Yes,
family_taxa_taxon_list_id,integer,,Yes,
taxon_group_id,integer,,Yes,
taxon_rank_sort_order,integer,,Yes,
record_status,character (1),,Yes,
record_substatus,smallint,,Yes,
certainty,character (1),,Yes,
query,character (1),,Yes,
sensitive,boolean,,Yes,
release_status,character (1),,Yes,
marine_flag,boolean,,Yes,
data_cleaner_result,boolean,,Yes,
media_count,integer,0,Yes,
training,boolean,false,No,
zero_abundance,boolean,,Yes,
licence_id,integer,,Yes,
identification_difficulty,integer,,Yes,"Identification difficulty assigned by the data_cleaner module, on a scale from 1 (easy) to 5 (difficult)"
import_guid,character varying,,Yes,Globally unique identifier of the import batch.
confidential,boolean,false,Yes,
external_key,character varying,,Yes,
location_ids,ARRAY,,Yes,
taxon_path,ARRAY,,Yes,
blocked_sharing_tasks,ARRAY,,Yes,
parent_sample_id,integer,,Yes,
verification_checks_enabled,boolean,false,No,
tracking,bigint,,Yes,Autogenerated tracking number for updates. A report can grab all new or updated records by filtering on this value.
freshwater_flag,boolean,false,No,
terrestrial_flag,boolean,false,No,
non_native_flag,boolean,false,No,
