Column,Type,Default,Nullable,Description
id,integer,,No,
data_cleaner_info,char varying,,Yes,
media,char varying,,Yes,
comment,text,,Yes,
sensitivity_precision,integer,,Yes,
privacy_precision,integer,,Yes,
output_sref,char varying,,Yes,
verifier,char varying,,Yes,
licence_code,char varying,,Yes,
attr_sex_stage,char varying,,Yes,
attr_sex,char varying,,Yes,
attr_stage,char varying,,Yes,
attr_sex_stage_count,char varying,,Yes,
attr_certainty,char varying,,Yes,
attr_det_first_name,char varying,,Yes,
attr_det_last_name,char varying,,Yes,
attr_det_full_name,char varying,,Yes,
output_sref_system,char varying,,Yes,
attrs_json,json,,Yes,
attr_behaviour,char varying,,Yes,
attr_reproductive_condition,char varying,,Yes,
