Column,Type,Default,Nullable,Description
id,integer,,No,
website_title,character varying,,Yes,
survey_title,character varying,,Yes,
group_title,character varying,,Yes,
public_entered_sref,character varying,,Yes,
entered_sref_system,character varying,,Yes,
recorders,character varying,,Yes,
media,character varying,,Yes,
comment,text,,Yes,
privacy_precision,integer,,Yes,
licence_code,character varying,,Yes,
attr_email,character varying,,Yes,
attr_cms_user_id,integer,,Yes,
attr_cms_username,character varying,,Yes,
attr_first_name,character varying,,Yes,
attr_last_name,character varying,,Yes,
attr_full_name,character varying,,Yes,
attr_biotope,character varying,,Yes,
attr_sref_precision,double precision,,Yes,
attr_linked_location_id,integer,,Yes,
attr_sample_method,character varying,,Yes,
attrs_json,json,,Yes,
