Column,Type,Default,Nullable,Description
id,integer,,No,
preferred,boolean,,Yes,
taxon_list_id,integer,,Yes,
taxon_list_title,character varying,,Yes,
website_id,integer,,Yes,
preferred_taxa_taxon_list_id,integer,,Yes,
parent_id,integer,,Yes,
taxonomic_sort_order,bigint,,Yes,
taxon,character varying,,Yes,
authority,character varying (100),,Yes,
language_iso,character varying (3),,Yes,
language,character varying (50),,Yes,
preferred_taxon,character varying,,Yes,
preferred_authority,character varying (100),,Yes,
preferred_language_iso,character varying (3),,Yes,
preferred_language,character varying (50),,Yes,
default_common_name,character varying,,Yes,
search_name,character varying,,Yes,
external_key,character varying (50),,Yes,
taxon_meaning_id,integer,,Yes,
taxon_group_id,integer,,Yes,
taxon_group,character varying (100),,Yes,
cache_created_on,timestamp without time zone,,No,
cache_updated_on,timestamp without time zone,,No,
allow_data_entry,boolean,true,Yes,
kingdom_taxa_taxon_list_id,integer,,Yes,Preferred taxa_taxon_list record which identifies the Kingdom of this taxon
order_taxa_taxon_list_id,integer,,Yes,Preferred taxa_taxon_list record which identifies the Order of this taxon
family_taxa_taxon_list_id,integer,,Yes,Preferred taxa_taxon_list record which identifies the Family of this taxon
kingdom_taxon,character varying,,Yes,The taxon name of the Kingdom containing this taxon
order_taxon,character varying,,Yes,The taxon name of the Order containing this taxon
family_taxon,character varying,,Yes,The taxon name of the Family containing this taxon
taxon_rank_id,integer,,Yes,
taxon_rank_sort_order,integer,,Yes,
taxon_rank,character varying,,Yes,
marine_flag,boolean,false,No,Set to true for marine species.
attrs_json,json,,Yes,
freshwater_flag,boolean,false,No,
terrestrial_flag,boolean,false,No,
non_native_flag,boolean,false,No,
taxon_id,integer,,Yes,
search_code,character varying (20),,Yes,
