Column,Type,Default,Nullable,Description
id,integer,nextval('indicia.taxon_lists_id_seq'::regclass),No,
title,character varying (100),,Yes,Title of the taxon list.
description,text,,Yes,Description of the taxon list.
website_id,integer,,Yes,"Foreign key to the websites table. Identifies the website that this list is available for, or null for lists available across all websites."
parent_id,integer,,Yes,"Foreign key to the taxon_lists table. For lists that are subsets of other taxon lists, identifies the parent list."
created_on,timestamp without time zone,,No,Date this record was created.
created_by_id,integer,,No,Foreign key to the users table (creator).
updated_on,timestamp without time zone,,No,Date this record was last updated.
updated_by_id,integer,,No,Foreign key to the users table (last updater).
deleted,boolean,false,No,Has this list been deleted?
